OPERATOR_ID,NAME,COUNTRY,CONTINENT,GSMA_NOTES,NUMBER OF SUBMISSIONS,LATEST_2G,LATEST_3G,LATEST_4G,LATEST_5G
261,Africell (Lintel),Sierra Leone,AFRICA,-,4,2018,2018,No Licence,-
2028,Sierratel,Sierra Leone,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
4213,Smart Mobile (Intergroup Telecom),Sierra Leone,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
296,M1,Singapore,ASIA,-,5,2004,2019,2019,-
428,Singtel,Singapore,ASIA,-,1,2004,Not Submitted,Not Submitted,-
449,StarHub,Singapore,ASIA,-,2,2012,2018,2018,-
2029,Grid Communications,Singapore,ASIA,-,-,Not Submitted,No Licence,No Licence,-
6522,TPG SIMBA,Singapore,ASIA,-,-,No Licence,No Licence,Not Submitted,-
174,Slovak Telekom (Deutsche Telekom),Slovakia,EUROPE,-,5,2019,2019,2019,No Licence
370,Orange,Slovakia,EUROPE,-,2,2011,2011,Not Submitted,-
1134,O2 (PPF),Slovakia,EUROPE,-,3,2019,2019,2019,-
5411,Slovanet,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
5722,4ka (SWAN Mobile),Slovakia,EUROPE,-,2,2018,No Licence,2018,-
6570,SWAN,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6803,Towercom,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6804,DSi DATA,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6805,HMZ Radio Communications,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6806,ORANET,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6807,Alternet,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6808,E-MAX INTERNET & IT,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6809,FIBRIS,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6810,OravaNet,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6811,PEGO,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6812,Prva Internetova (SLNET),Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6813,RUPKKI,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6814,Wircom,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6815,AMTEL,Slovakia,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
308,Telekom Slovenije,Slovenia,EUROPE,-,3,2017,2017,2017,-
423,A1 (A1 Telekom Austria),Slovenia,EUROPE,-,3,2016,2016,2016,-
1282,T-2,Slovenia,EUROPE,-,1,No Licence,2016,No Licence,-
1433,Telemach Mobil (United),Slovenia,EUROPE,-,4,2019,2019,2019,-
757,Our Telekom (Solomon Telekom),Solomon Islands,OCEANIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3045,bmobile-Vodafone,Solomon Islands,OCEANIA,-,-,Not Submitted,Not Submitted,No Licence,-
209,Hormuud Telecom,Somalia,AFRICA,-,1,2017,Not Submitted,Not Submitted,No Licence
325,NationLink Telecom,Somalia,AFRICA,-,-,Not Submitted,No Licence,No Licence,No Licence
439,Somafone,Somalia,AFRICA,-,-,Not Submitted,No Licence,No Licence,No Licence
508,Telesom; Somaliland,Somalia,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1886,Telcom,Somalia,AFRICA,-,-,Not Submitted,No Licence,No Licence,No Licence
1887,Golis Telecom,Somalia,AFRICA,-,-,Not Submitted,No Licence,No Licence,-
2031,Somtel; Somaliland,Somalia,AFRICA,-,1,2013,No Licence,Not Submitted,-
5370,Somnet Telecom,Somalia,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5785,Sahal Telecom (Glocall Telecoms),Somalia,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5846,SomCom Telecom,Somalia,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
5906,Nordic,Somalia,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
6191,SO! (Somcable); Somaliland,Somalia,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
77,Cell C,South Africa,AFRICA,-,2,2009,2011,Not Submitted,-
317,MTN,South Africa,AFRICA,-,5,2016,2016,2016,-
551,Vodacom,South Africa,AFRICA,-,9,2019,2019,2019,-
1922,Telkom,South Africa,AFRICA,-,1,2012,2012,Not Submitted,-
3825,Rain,South Africa,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5132,Neotel (Liquid Telecom),South Africa,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
6569,Afrihost,South Africa,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
431,SK Telecom,"Korea, Republic of",ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
636,LG Uplus,"Korea, Republic of",ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
638,KT,"Korea, Republic of",ASIA,-,2,Not Submitted,2011,Not Submitted,No Licence
1988,KT Powertel,"Korea, Republic of",ASIA,-,-,Not Submitted,No Licence,No Licence,-
4475,MTN,South Sudan,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
4682,Zain,South Sudan,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
6753,Niletel,South Sudan,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
404,Orange,Spain,EUROPE,-,2,2018,2018,2018,-
499,Movistar (Telefonica),Spain,EUROPE,-,1,2007,Not Submitted,Not Submitted,No Licence
557,Vodafone,Spain,EUROPE,-,1,Not Submitted,2009,Not Submitted,-
1147,Yoigo (Masmovil),Spain,EUROPE,-,-,Not Submitted,Not Submitted,Not Submitted,-
4901,Euskaltel,Spain,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
5357,COTA,Spain,EUROPE,-,-,No Licence,No Licence,Not Submitted,No Licence
5754,NEO (Masmovil),Spain,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6195,ION Mobile (Aire Networks),Spain,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
80,Etisalat,Sri Lanka,ASIA,-,5,2019,2019,Not Submitted,-
218,Hutch (CK Hutchison),Sri Lanka,ASIA,-,6,2019,2019,No Licence,-
307,Mobitel (Sri Lanka Telecom),Sri Lanka,ASIA,-,6,2019,2019,2019,-
319,Dialog (Axiata),Sri Lanka,ASIA,-,3,2018,2018,2018,-
1453,Airtel (Bharti Airtel),Sri Lanka,ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
5636,Lanka Bell,Sri Lanka,ASIA,-,-,No Licence,No Licence,Not Submitted,-
5336,Sure (Batelco),"St Helena, Ascension and Tristan da Cunha",AFRICA,-,-,Not Submitted,No Licence,Not Submitted,-
65,Flow (Liberty Latin America),St Kitts and Nevis,N AMERICA,-,1,2011,Not Submitted,Not Submitted,-
583,Digicel,St Kitts and Nevis,N AMERICA,-,4,2019,2019,2019,-
1666,Lycamobile,St Kitts and Nevis,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
2019,Chippie (UTS),St Kitts and Nevis,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
59,Flow (Liberty Latin America),St Lucia,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
142,Digicel,St Lucia,N AMERICA,-,4,2019,2019,2019,No Licence
2081,Lycamobile,St Lucia,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
475,TelCell (Telem),St Maarten,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
4412,Chippie (Liberty Latin America),St Maarten,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
2025,SPM Telecom (Orange),St Pierre and Miquelon,N AMERICA,-,2,2017,No Licence,No Licence,No Licence
58,Flow (Liberty Latin America),St Vincent and the Grenadines,N AMERICA,-,-,Not Submitted,Not Submitted,No Licence,-
143,Digicel,St Vincent and the Grenadines,N AMERICA,-,3,2019,2019,No Licence,No Licence
2082,Lycamobile,St Vincent and the Grenadines,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
2015,Dauphin Telecom,St-Barthélemy,N AMERICA,-,1,2011,No Licence,Not Submitted,No Licence
2016,Chippie (Liberty Latin America),St-Barthélemy,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
2018,Orange,St-Barthélemy,N AMERICA,-,1,2006,Not Submitted,Not Submitted,-
6454,Free Mobile (Iliad),St-Barthélemy,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
6460,Digicel,St-Barthélemy,N AMERICA,-,2,2019,2019,2019,-
2020,Dauphin Telecom,St-Martin,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
2021,Chippie (Liberty Latin America),St-Martin,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
2023,Orange,St-Martin,N AMERICA,-,1,2006,No Licence,Not Submitted,-
6455,Free Mobile (Iliad),St-Martin,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
6461,Digicel,St-Martin,N AMERICA,-,2,2019,2019,2019,-
37,MTN,Sudan,AFRICA,-,3,2014,2006,No Licence,-
306,Zain,Sudan,AFRICA,-,2,2013,2013,Not Submitted,-
1420,Sudani (Sudatel),Sudan,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
509,Telesur,Suriname,S AMERICA,-,2,2013,2013,Not Submitted,-
1472,Digicel,Suriname,S AMERICA,-,4,2019,2019,No Licence,-
202,3 (CK Hutchison),Sweden,EUROPE,-,2,No Licence,2012,Not Submitted,No Licence
476,Tele2,Sweden,EUROPE,-,1,2014,2014,2014,No Licence
513,Telia,Sweden,EUROPE,-,2,2013,2013,2013,-
569,Telenor,Sweden,EUROPE,-,3,2011,2011,2014,-
1843,Teracom Mobil (Teracom),Sweden,EUROPE,-,-,No Licence,Not Submitted,Not Submitted,-
362,Salt (NJJ),Switzerland,EUROPE,-,3,2014,2014,2014,-
457,Swisscom,Switzerland,EUROPE,-,11,2019,2019,2019,-
474,Sunrise (Liberty Global),Switzerland,EUROPE,-,3,2011,2011,Not Submitted,-
445,MTN,Syria,ASIA,-,1,2008,Not Submitted,No Licence,-
459,Syriatel,Syria,ASIA,-,1,2004,Not Submitted,No Licence,No Licence
105,Chunghwa Telecom,"Taiwan, Province of China",ASIA,-,5,2012,2017,2017,-
180,Far EasTone,"Taiwan, Province of China",ASIA,-,4,2011,2017,2017,-
469,Taiwan Mobile,"Taiwan, Province of China",ASIA,-,3,2015,2015,2015,No Licence
545,Taiwan Star Telecom,"Taiwan, Province of China",ASIA,-,2,No Licence,2018,2018,-
836,Asia Pacific Telecom,"Taiwan, Province of China",ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3109,G1 (Global Mobile),"Taiwan, Province of China",ASIA,-,-,No Licence,No Licence,Not Submitted,-
238,Babilon-Mobile,Tajikistan,ASIA,-,5,2015,2015,2015,No Licence
241,Tcell,Tajikistan,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
470,ZET Mobile,Tajikistan,ASIA,-,3,2015,2015,No Licence,-
761,MegaFon,Tajikistan,ASIA,-,1,2012,2012,Not Submitted,-
1042,Tajiktelecom,Tajikistan,ASIA,-,-,Not Submitted,No Licence,No Licence,-
1877,SkyTel,Tajikistan,ASIA,-,-,Not Submitted,No Licence,No Licence,-
93,Airtel (Airtel Africa),Tanzania,AFRICA,-,4,2019,2019,No Licence,No Licence
279,Tigo (AXIAN),Tanzania,AFRICA,-,2,2013,Not Submitted,Not Submitted,-
553,Vodacom,Tanzania,AFRICA,-,1,2008,Not Submitted,Not Submitted,-
591,Zantel (AXIAN),Tanzania,AFRICA,-,2,2017,2017,2017,-
1828,MyCell,Tanzania,AFRICA,-,-,Not Submitted,No Licence,No Licence,-
1829,TTCL,Tanzania,AFRICA,-,-,No Licence,Not Submitted,Not Submitted,-
2034,EGOTEL (Epocha & Golden Ocean),Tanzania,AFRICA,-,-,Not Submitted,No Licence,No Licence,-
2035,HITS Telecom (ExcellentCom),Tanzania,AFRICA,-,-,Not Submitted,No Licence,No Licence,-
3194,Smile,Tanzania,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5364,Telesis,Tanzania,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5809,Smart,Tanzania,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
5929,Halotel (Viettel),Tanzania,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
4,TOT,Thailand,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
5,AIS,Thailand,ASIA,-,3,2015,2017,2017,No Licence
467,TrueMove H (True Corporation),Thailand,ASIA,-,3,2020,2020,2020,-
529,dtac (Telenor),Thailand,ASIA,-,3,2010,2016,2016,-
1851,National Telecom,Thailand,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
4344,WE PCT (Asia Wireless Communication),Thailand,ASIA,-,-,Not Submitted,No Licence,No Licence,-
5465,AIS,Thailand,ASIA,-,1,No Licence,2015,No Licence,-
518,BTC,Bahamas,N AMERICA,-,1,2014,2014,Not Submitted,-
6154,ALIV,Bahamas,N AMERICA,-,-,No Licence,Not Submitted,Not Submitted,-
8,Africell (Lintel),Gambia,AFRICA,-,2,2011,Not Submitted,No Licence,-
188,Gamcel (Gamtel),Gambia,AFRICA,-,1,2017,2017,Not Submitted,No Licence
1113,Comium,Gambia,AFRICA,-,1,2013,No Licence,No Licence,-
1969,QCell,Gambia,AFRICA,-,1,Not Submitted,2011,Not Submitted,-
5147,Netpage,Gambia,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
483,Moov Africa (Maroc Telecom),Togo,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
526,Togocom,Togo,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
7109,TEOLIS,Togo,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
6549,Teletok,Tokelau,OCEANIA,-,-,No Licence,No Licence,Not Submitted,-
685,U-Call (Tonga Telecom),Tonga,OCEANIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
860,Digicel (Telstra),Tonga,OCEANIA,-,1,2011,Not Submitted,No Licence,-
493,bmobile (TSTT),Trinidad and Tobago,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
1046,Digicel,Trinidad and Tobago,N AMERICA,-,5,2019,2019,2019,-
373,Ooredoo (NMTC),Tunisia,AFRICA,-,4,2019,2019,2019,-
533,Tunisie Telecom,Tunisia,AFRICA,-,1,2004,Not Submitted,Not Submitted,-
2069,Orange,Tunisia,AFRICA,-,1,2012,2012,Not Submitted,-
514,Vodafone,Turkey,ASIA,-,2,2011,Not Submitted,Not Submitted,-
532,Turk Telekom,Turkey,ASIA,-,4,2014,2014,Not Submitted,-
534,Turkcell,Turkey,ASIA,-,2,2017,2017,Not Submitted,-
450,TMCELL (Altyn Asyr),Turkmenistan,ASIA,-,-,Not Submitted,No Licence,Not Submitted,-
67,Flow (Liberty Latin America),Turks and Caicos Islands,N AMERICA,-,1,2004,Not Submitted,Not Submitted,-
1037,Digicel,Turks and Caicos Islands,N AMERICA,-,2,2015,2015,2015,-
4152,Tuvalu Telecommunication Corporation (TTC),Tuvalu,OCEANIA,-,-,Not Submitted,No Licence,Not Submitted,-
85,Airtel (Airtel Africa),Uganda,AFRICA,-,2,2014,2014,Not Submitted,-
322,MTN,Uganda,AFRICA,-,3,2013,2013,Not Submitted,-
537,Uganda Telecommunications Corporation (UTCL),Uganda,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1402,Africell (Lintel),Uganda,AFRICA,-,2,2019,2019,2019,No Licence
1427,Reliance,Uganda,AFRICA,-,-,Not Submitted,No Licence,No Licence,-
2039,i-Tel,Uganda,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
4214,Smart,Uganda,AFRICA,-,2,2016,2016,No Licence,-
5361,Smile,Uganda,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5960,Vodafone (Afrimax),Uganda,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
28,lifecell (Turkcell),Ukraine,EUROPE,-,3,2012,2018,2018,-
255,Kyivstar (VEON),Ukraine,EUROPE,-,2,2011,Not Submitted,Not Submitted,-
538,Vodafone (NEQSOL),Ukraine,EUROPE,-,2,2011,Not Submitted,Not Submitted,No Licence
1203,TriMob (Ukrtelecom),Ukraine,EUROPE,-,2,No Licence,2015,No Licence,No Licence
1422,PEOPLEnet,Ukraine,EUROPE,-,-,Not Submitted,Not Submitted,No Licence,-
1830,Intertelecom,Ukraine,EUROPE,-,-,Not Submitted,Not Submitted,No Licence,-
3751,Giraffe (Intellecom),Ukraine,EUROPE,-,-,No Licence,No Licence,Not Submitted,No Licence
5837,Tele2; Crimea,Ukraine,EUROPE,-,-,No Licence,No Licence,Not Submitted,No Licence
5870,WIN Mobile (K-2 Telecom); Crimea,Ukraine,EUROPE,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
5872,Beeline (VEON); Crimea,Ukraine,EUROPE,-,-,Not Submitted,No Licence,No Licence,-
6009,Volna Mobile (KTK Telecom); Crimea,Ukraine,EUROPE,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
6069,Krymtelecom; Crimea,Ukraine,EUROPE,-,-,Not Submitted,Not Submitted,No Licence,No Licence
6070,Sevmobile; Crimea,Ukraine,EUROPE,-,-,Not Submitted,Not Submitted,No Licence,No Licence
6255,MKC,Ukraine,EUROPE,-,-,Not Submitted,No Licence,No Licence,No Licence
6256,Phoenix; Donetsk,Ukraine,EUROPE,-,-,Not Submitted,No Licence,No Licence,No Licence
643,Etisalat (e&),United Arab Emirates,ASIA,-,2,2004,2008,Not Submitted,-
1067,du,United Arab Emirates,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
212,3 (CK Hutchison),United Kingdom,EUROPE,-,2,No Licence,2010,2019,-
342,Virgin Media O2 (Telefonica/Liberty Global),United Kingdom,EUROPE,-,1,2010,2010,Not Submitted,-
460,EE (BT),United Kingdom,EUROPE,-,2,2016,2016,Not Submitted,No Licence
563,Vodafone,United Kingdom,EUROPE,-,2,2014,2014,Not Submitted,-
3598,Clear Mobitel,United Kingdom,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
4024,Arqiva,United Kingdom,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
4218,Cambridge Wireless,United Kingdom,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
5350,British Telecom,United Kingdom,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
107,AT&T,United States,N AMERICA,-,5,2012,2012,Not Submitted,-
115,Commnet Wireless (ATN),United States,N AMERICA,-,1,2010,Not Submitted,Not Submitted,No Licence
232,iWireless,United States,N AMERICA,-,6,2016,2016,2016,No Licence
285,Chariton Valley,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,No Licence
351,Phoenix Communications (Oklahoma Western Telephone Company),United States,N AMERICA,-,2,2013,2016,No Licence,-
466,T-Mobile (Deutsche Telekom),United States,N AMERICA,-,4,2018,2018,2018,-
606,Sprint (SoftBank),United States,N AMERICA,-,1,Not Submitted,2017,2017,-
617,Verizon Wireless,United States,N AMERICA,-,1,2006,Not Submitted,Not Submitted,-
900,US Cellular (TDS),United States,N AMERICA,-,2,2011,Not Submitted,Not Submitted,No Licence
1079,Arctic Slope Telephone Association Cooperative,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,No Licence
1299,Big River Communications (Big River Telephone),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
1305,Carolina West Wireless,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
1311,CenturyLink,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
1353,Northwestcell,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
1361,Public Service Data Wireless,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
1374,S&T Telephone,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
1377,VTel Wireless (Vermont Telephone Company),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
1424,ThumbCellular (Agri-Valley Communications),United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
2040,Airpeak,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
2046,C Spire Wireless (Telapex),United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
2058,WorldCell Solutions,United States,N AMERICA,-,3,2011,2014,Not Submitted,-
2067,SouthernLINC Wireless (Southern Company),United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
2719,GW Wireless (Golden West Telecom),United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3001,Emery Telecom,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3074,GCI,United States,N AMERICA,-,1,2012,2012,Not Submitted,No Licence
3170,NTUA Choice Wireless,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3289,Big Sky Mobile (iSmart Mobile),United States,N AMERICA,-,1,2013,No Licence,No Licence,No Licence
3312,All West Wireless (All West Communications),United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3313,Choice Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3314,Appalachian Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3316,Blanca Telephone Company (Jade Communications),United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3317,Bluegrass Cellular,United States,N AMERICA,-,1,No Licence,No Licence,2019,-
3324,Cellcom (Nsight),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3325,Chat Mobility,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3327,Cellular One (MTPCS),United States,N AMERICA,-,1,2010,No Licence,Not Submitted,-
3330,Cellular One (Smith Bagley),United States,N AMERICA,-,2,2013,No Licence,No Licence,-
3334,ClearTalk Wireless (NTCH),United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3336,Copper Valley Telecom,United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3337,Cordova Wireless Communications (Cordova Telephone Cooperative),United States,N AMERICA,-,-,No Licence,Not Submitted,Not Submitted,No Licence
3340,Bravado Wireless (Cross Communications),United States,N AMERICA,-,1,2005,Not Submitted,Not Submitted,-
3344,CusterTel (CTCI),United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3349,ETEX Telephone Cooperative,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3351,Farmers Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3354,Illinois Valley Cellular,United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3355,Limitless Mobile,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,No Licence
3356,Indigo Wireless,United States,N AMERICA,-,1,2019,2019,2019,No Licence
3357,Inland Cellular,United States,N AMERICA,-,-,No Licence,Not Submitted,Not Submitted,-
3362,Leaco Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3364,Bug Tussel Wireless (Hilbert Communications),United States,N AMERICA,-,1,2010,No Licence,No Licence,No Licence
3365,Mid-Rivers Communications (Mid-Rivers Telephone Cooperative),United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3367,Mobi PCS,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3369,Matanuska Telephone Association,United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3371,Nemont (Sagebrush Cellular),United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3374,Nex-Tech Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3377,OTZ Telephone Cooperative,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,No Licence
3378,Kaptel,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3379,Penasco Valley Telecom,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3380,Peoples Wireless (Peoples Telephone Cooperative),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3381,Pine Belt Wireless (Pine Belt Telephone Company),United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3382,Pine Cellular,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3383,Pinpoint Communications,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3384,Pioneer Cellular (Pioneer Telephone Cooperative),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3385,Plateau Wireless,United States,N AMERICA,-,1,2011,No Licence,No Licence,-
3392,Shenandoah Telecommunications,United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3393,Silver Star Communications,United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3395,Snake River PCS (Eagle Telephone System),United States,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
3396,South Central Communications,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3398,Swiftel (Brookings Municipal Utilities),United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3400,Texas Cellular Communications,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3402,STRATA NETWORKS,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3404,Union Wireless,United States,N AMERICA,-,3,2018,2018,2018,-
3405,United Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3407,Viaero Wireless,United States,N AMERICA,-,7,2015,2019,2019,No Licence
3408,West Central Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3534,Northeast Wireless,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
3602,Ligado Networks,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3654,BayRICS,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3687,Texas Energy Network,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3951,James Valley Telecommunications,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
3952,PTCI (Panhandle Telephone Cooperative),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
3971,MobileNation (SI Wireless),United States,N AMERICA,-,-,No Licence,Not Submitted,No Licence,-
4125,TelAlaska Cellular (American Broadband),United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
4286,S & R Communications,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
4665,SpeedConnect,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
4766,O2 Secure Wireless,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
4799,NNTC Wireless (Northeast Nebraska Telephone Company),United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
4826,Collins Aerospace,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
5226,Great Plains Communications,United States,N AMERICA,-,-,Not Submitted,No Licence,Not Submitted,-
5227,Kudzu Networks,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
5418,Aspenta,United States,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
5458,Nortex Communications,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
5459,Colorado Valley Communications,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
5508,KPU (Ketchikan Public Utilities),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
5530,Evolve Broadband (Worldcall Interconnect),United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
5531,Adams NetWorks,United States,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
