OPERATOR_ID,NAME,COUNTRY,CONTINENT,GSMA_NOTES,NUMBER OF SUBMISSIONS,LATEST_2G,LATEST_3G,LATEST_4G,LATEST_5G
5661,JOIN Experience (JOIN Wireless / POST),Luxembourg,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
6210,MTX Connect,Luxembourg,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
730,CTM (CITIC Telecom),"Macao, SAR China",ASIA,-,2,2013,2013,Not Submitted,No Licence
732,SmarTone,"Macao, SAR China",ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
854,3 (CK Hutchison),"Macao, SAR China",ASIA,-,1,Not Submitted,2013,Not Submitted,No Licence
1124,China Telecom,"Macao, SAR China",ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
266,Airtel (Airtel Africa),Madagascar,AFRICA,-,2,2014,2014,Not Submitted,-
365,Orange,Madagascar,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1820,Telma,Madagascar,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
5919,Blueline (Gulfsat Madagascar),Madagascar,AFRICA,-,-,No Licence,No Licence,Not Submitted,No Licence
6297,Blueline (BIP),Madagascar,AFRICA,-,-,No Licence,No Licence,Not Submitted,No Licence
91,Airtel (Airtel Africa),Malawi,AFRICA,-,2,2014,2014,Not Submitted,-
501,TNM,Malawi,AFRICA,-,3,2019,2019,2019,-
6124,Access Communications,Malawi,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
6546,Globe Internet,Malawi,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
75,Celcom (Axiata),Malaysia,ASIA,-,5,2017,2017,2018,-
140,DiGi,Malaysia,ASIA,-,3,2016,2016,2016,-
273,Maxis,Malaysia,ASIA,-,3,2011,2011,Not Submitted,No Licence
1645,REDtone,Malaysia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
1647,U Mobile,Malaysia,ASIA,-,2,No Licence,2018,2018,-
2843,unifi (Telekom Malaysia),Malaysia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
3712,Yes (YTL Communications),Malaysia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
3769,amax (Asiaspace),Malaysia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
4499,Electcoms,Malaysia,ASIA,-,-,Not Submitted,No Licence,No Licence,-
4889,ALTEL (Puncak Semangat),Malaysia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
5577,TMgo (Telekom Malaysia),Malaysia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
139,Dhiraagu (Batelco),Maldives,ASIA,-,3,2017,2017,2017,-
946,Ooredoo (NMTC),Maldives,ASIA,-,1,2013,2013,Not Submitted,-
224,Orange (Sonatel),Mali,AFRICA,-,1,2004,Not Submitted,Not Submitted,-
268,Moov Africa (Maroc Telecom),Mali,AFRICA,-,-,Not Submitted,No Licence,No Licence,No Licence
5338,Telecel (Atel),Mali,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
564,epic,Malta,EUROPE,-,3,2011,2011,2017,-
1792,Go (Tunisie Telecom),Malta,EUROPE,-,3,2016,2016,2016,-
1997,Melita,Malta,EUROPE,-,-,No Licence,Not Submitted,No Licence,-
735,NTA,"Marshall Islands, Republic of",OCEANIA,-,-,Not Submitted,No Licence,Not Submitted,-
360,Orange,Martinique,N AMERICA,-,1,2006,No Licence,Not Submitted,No Licence
821,Digicel,Martinique,N AMERICA,-,2,2019,2019,2019,-
1840,SFR (Outremer Telecom),Martinique,N AMERICA,-,1,2018,2018,2018,-
6453,Free Mobile (Iliad),Martinique,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
272,Moov Mauritel (Maroc Telecom),Mauritania,AFRICA,-,1,2015,Not Submitted,No Licence,No Licence
736,Mattel (Tunisie Telecom),Mauritania,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
1787,Chinguitel (Sudatel),Mauritania,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
79,my.t (Mauritius Telecom),Mauritius,AFRICA,-,2,2018,2018,2018,No Licence
165,Emtel (Currimjee),Mauritius,AFRICA,-,2,2016,2016,2016,No Licence
1889,CHILI (MTML),Mauritius,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
737,SFR (Altice Europe),Mayotte,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1867,Orange,Mayotte,AFRICA,-,-,Not Submitted,No Licence,Not Submitted,-
1890,Only (Axian / Iliad),Mayotte,AFRICA,-,1,2012,Not Submitted,Not Submitted,-
6380,Maore Mobile (BJT Partners),Mayotte,AFRICA,-,-,Not Submitted,No Licence,Not Submitted,-
402,Telcel (America Movil),Mexico,N AMERICA,-,6,2019,2019,2019,-
611,Movistar (Telefonica) (MNO: AT&T),Mexico,N AMERICA,-,2,2016,2016,2016,No Licence
644,AT&T,Mexico,N AMERICA,-,1,2011,2011,Not Submitted,No Licence
6596,Ultravision,Mexico,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
310,Moldcell,"Moldova, Republic of",EUROPE,-,2,2012,Not Submitted,Not Submitted,-
